time,true_pos,measurement,inferred_pos,variance
0.0,-1.9596000000000011,-1.8707494995333742,-1.9465956715467934,0.24824266923041408
0.02,-1.9184161600000034,-1.9599689463143508,-1.9563016061249427,0.12831918326962338
0.04,-1.876464953536004,-1.2468483336426046,-1.7140430602860108,0.08477327603641674
0.06,-1.8337631610905916,-1.7547185484289993,-1.724714486782851,0.06509950291902297
0.08,-1.7903278633807425,-1.5856085980596164,-1.6964516807879002,0.05329481349295614
0.1,-1.7461764345255413,-2.0500883808333534,-1.7628468766680596,0.04725236187575371
0.12,-1.7013265350965292,-1.2041771217527175,-1.6645893376936478,0.04047882982619797
0.14,-1.6557961050534793,-1.4830890142315525,-1.6369853528706,0.0361322144154122
0.16,-1.6096033565684076,-1.7771749259575038,-1.656210236235689,0.033004904511268245
0.18,-1.5627667667407088,-1.643093409923746,-1.652400121933443,0.031180616256032363
0.2,-1.5153050702063133,-1.6796674766894588,-1.6538292312891005,0.029642399882451927
0.22,-1.4672372516438352,-0.6283952061939305,-1.5360436433376319,0.028494920864587756
0.24,-1.4185825381806998,-1.3670999169483946,-1.5177007978245438,0.02811486429713461
0.26,-1.3693603917022932,-0.9788559143987174,-1.458888313953174,0.02747022812205674
0.28,-1.3195905010672047,-1.709362738746893,-1.4839045656980674,0.026565941194951474
0.3,-1.269292774231689,-0.7042104280986307,-1.3982438072240455,0.02611224585876664
0.32,-1.2184873302864814,-0.17597249215613564,-1.2713681838034643,0.024900820497041627
0.34,-1.1671944914091594,-1.1662380233986624,-1.2614431092904748,0.02483275341204713
0.36,-1.115434774735273,-1.6039006852805548,-1.2943033411254805,0.02552215564284555
0.38,-1.063228884151493,-1.5231341907269467,-1.3195973363715425,0.02530854984124834
0.4,-1.010597702014052,-0.4797000327872287,-1.2358117495164849,0.024380749509964064
0.42,-0.9575622807958056,-1.4947262672266741,-1.2636537942816164,0.024269606875435498
0.44,-0.9041438346652406,-0.17720159039117256,-1.1557700256319139,0.024293211659824714
0.46,-0.8503637310008102,-0.7933669363049636,-1.1212250317829264,0.023770221244511388
0.48,-0.7962434818439789,-1.5155619899618535,-1.162027585890144,0.024756362019352517
0.5,-0.7418047352944104,-0.9218586439215978,-1.1386716909420862,0.024216212822408774
0.52,-0.6870692668507238,-0.3876112646152688,-1.0639507806621495,0.02349692688557349
0.54,-0.632058970700297,-1.1707291388535528,-1.0743738077013893,0.023303631875914443
0.56,-0.5767958509615899,-0.9386113491168797,-1.0616662984313623,0.02373335279688979
0.58,-0.5213020128824988,-1.5724446973378572,-1.109338323035105,0.023825256562583427
0.6,-0.4655996539982544,-0.6544217351392846,-1.0686427358635744,0.02401713867243521
0.62,-0.4097110552524106,-0.6833786375845333,-1.0356857637030623,0.023948233256847765
0.64,-0.3536585720844659,-0.2569151482868396,-0.9680899162220783,0.023534844677086452
0.66,-0.29746462548768754,-0.7165603957066118,-0.9462936316930437,0.025019280119436972
0.68,-0.241151693040714,-0.12805686306789982,-0.8600585696263205,0.02866611289189444
0.7000000000000001,-0.18474229991652416,0.3788502377552354,-0.717524311557564,0.03313356675446612
0.72,-0.1282590098723678,0.29278802360659295,-0.5804142662260225,0.0365208704332102
0.74,-0.0717244162242624,0.45965429264704405,-0.4349876695174288,0.029979391133654824
0.76,-0.015161132809667322,-0.11341553228729918,-0.3930287181192376,0.026894103036123652
0.78,0.04140821505805165,0.8589090820153737,-0.2875724642349413,0.0159468803869693
0.8,0.09796099963974729,0.3981094897167652,-0.24477876216411826,0.013763475812267282
0.8200000000000001,0.1544745998215871,0.0841406606160505,-0.22321338804072915,0.014646832219838713
0.84,0.21092641016349825,-0.21104088863175732,-0.22070919817439438,0.015284733552048388
0.86,0.2672938499413439,0.8919059346285927,-0.15078651958429318,0.014568474670420486
0.88,0.3235543721792133,0.9906574258255276,-0.07473715691026697,0.014533905437862121
0.9,0.3796854726682108,1.3044930922326585,0.01916605138350714,0.018785470633401594
0.92,0.43566469896814114,1.3468318504741694,0.12989167056067163,0.019309552404736238
0.9400000000000001,0.4914696593884842,-0.15463374352417025,0.10577833428161679,0.02010331818671033
0.96,0.5470780319450717,0.6844370710765951,0.15394559562514998,0.022322225275846944
0.98,0.6024675732888812,0.4590413354627692,0.18177375305555565,0.023968163917435944
1.0,0.6576161276033758,1.4476042602155639,0.30234464539642936,0.0248800970670394
1.02,0.7125016354668281,1.452472995641422,0.413962254479336,0.024256146703933182
1.04,0.7671021426760942,1.5719700241988028,0.5259630604935501,0.02182252296785203
1.06,0.8213958090282895,0.727974552517012,0.5477562828701498,0.022232217571587273
1.08,0.875360917056874,0.9167890579203839,0.5817966697962063,0.021583484886238184
1.1,0.9289758807186357,0.5322761858321943,0.5782808001056924,0.022111048931824882
1.12,0.9822192540281094,0.20102632317262958,0.5458695030575008,0.023207689451738955
1.1400000000000001,1.0350697396359725,0.669805419548048,0.5594173749343547,0.02288904401584428
1.16,1.087506197347981,0.9089231323536147,0.5926250309296675,0.022525096896924387
1.18,1.1395076525810504,1.6358855467893885,0.6865429472366122,0.021757916068683495
1.2,1.1910533047530873,2.3158712906054406,0.8327295411274418,0.0213511108397976
1.22,1.2421225356032228,1.0660546014908578,0.8563289258426128,0.021433347053197098
1.24,1.2926949174391178,0.856765622229092,0.8571503397948355,0.021795918877403272
1.26,1.3427502213080367,1.4005698172895682,0.9034729433949023,0.020942517866327275
1.28,1.392268425088432,0.8729218496837072,0.9023679301970113,0.022207599660054055
1.3,1.4412297214987912,0.7843316051208113,0.8913051158006136,0.02198980798291207
1.32,1.4896145260205527,0.5318922238338497,0.8587597484931951,0.02252442630821525
1.34,1.5374034847319058,1.7810186485099284,0.9406323477715463,0.021807715657793637
1.36,1.5845774820493654,2.484676252629761,1.0680790559033353,0.021013137492099897
1.3800000000000001,1.6311176483740053,0.6005357261767368,1.029678190242942,0.0224339307206983
1.4000000000000001,1.677005367639296,2.311019140981959,1.1471913480912574,0.022286525763835302
1.42,1.7222222847575304,2.246652362639605,1.2385963265554372,0.021440563777830116
1.44,1.7667503129618622,1.3343987806582867,1.2486050999893477,0.021647920904608424
1.46,1.8105716410410075,2.0274785722146835,1.3167317418577729,0.02042796524483462
1.48,1.8536687404637375,2.0289774321371628,1.377287580392279,0.020322529759972507
1.5,1.8960243723902817,1.7106759615481424,1.4004476988000418,0.020131179354322005
1.52,1.9376215945678683,1.5320081147315916,1.412934102767722,0.021046294104332036
1.54,1.978443768107628,1.5442559335326809,1.4242028104074647,0.021365141104237925
1.56,2.018474564140143,1.4292399168868242,1.425504087817814,0.020974037670356237
1.58,2.0576979703470006,2.681982776461674,1.5348941609152462,0.021648394418383527
1.6,2.096098297365718,1.0702951908666878,1.4941335168124388,0.02211731896659941
1.62,2.133660185065488,1.6519003635934024,1.5078196145944818,0.022645340678171394
1.6400000000000001,2.1703686086912315,2.3752612827690633,1.5868363810091362,0.020313107466886412
1.6600000000000001,2.206208884873497,1.5291864329372302,1.5798230529312973,0.021298823452707796
1.68,2.2411666775018113,1.8156165145739944,1.6002762821765426,0.021413712468463623
1.7,2.2752280034591252,1.7643412617992527,1.6128476500722406,0.021289184065368567
1.72,2.3083792382150543,2.8445268362494005,1.7169716803668218,0.02002708307106927
1.74,2.3406071212756974,2.346194292456232,1.7641869721207732,0.018594546016109895
1.76,2.371898761487831,2.330730345746113,1.8090776504584074,0.01868123428238168
1.78,2.4022416421953707,2.5103599469499835,1.8612733390925185,0.017470984790411075
1.8,2.431623626246034,3.279394008737431,1.9631420738009402,0.014618420451822017
1.82,2.4600329608462004,2.259304692087371,1.9854370667791856,0.015360310563501622
1.84,2.4874582822620304,2.5578947672339645,2.0225499037556958,0.01453666899437923
1.86,2.513888620364958,2.3585780124601126,2.0435909741374854,0.014874721153525594
1.8800000000000001,2.5393134030197424,2.9122462529249766,2.100298652244764,0.015265922677372534
1.9000000000000001,2.5637224603133206,3.153046519983201,2.165130645189893,0.014840885806340097
1.92,2.5871060286227756,2.9651434066690405,2.2164912257094143,0.015376032507201393
1.94,2.6094547545207845,2.5564421464098177,2.240418573223479,0.017015721502085655
1.96,2.6307596985169845,1.5599615140290262,2.1912603880854418,0.01832224572087365
1.98,2.6510123386337785,2.316167087160108,2.199750889699929,0.018657679813444416
2.0,2.6702045738151203,2.9070063430302153,2.2575255852882457,0.019465407516017906
2.02,2.688328727166934,3.354533701425461,2.346533707827089,0.020027807155498616
2.04,2.7053775490278826,2.3393972029167696,2.344579829339375,0.020873721154675826
2.06,2.721344219869219,2.3230753143479212,2.3408002898174605,0.02111858617869809
2.08,2.736222353022606,1.9835954720672877,2.3089405278307664,0.021267350312621246
2.1,2.7500059972347843,2.46270760307123,2.3198470349663616,0.02206101645986234
2.12,2.7626896390480673,2.616326614918927,2.3446018803977213,0.02259957236111436
2.14,2.774268205005732,2.8370370230048803,2.3910728836191573,0.023439568271546425
2.16,2.784737063681392,2.6097389840106806,2.411447847451953,0.02284243783678611
2.18,2.7940920275315797,2.321493622285847,2.400950251688279,0.022592266898314367
2.2,2.802329354570755,2.3592611418026075,2.3987337918342337,0.02244560349203967
2.22,2.809445749868099,2.292826022157014,2.389750763623785,0.022658431943657072
2.24,2.815438366865497,3.057405101810969,2.4501156364277814,0.022269592318980683
2.2600000000000002,2.8203048085161493,2.4115334722161728,2.44812717793429,0.02230359339018515
2.2800000000000002,2.824043128243395,2.208728087261312,2.4213596425093336,0.022663604284255498
2.3000000000000003,2.8266518307193427,1.7674085888416904,2.364196491999625,0.02154080033917987
2.32,2.8281298724630033,2.6284783029363448,2.3896830506360347,0.022751830524699392
2.34,2.8284766622576782,3.381367930762317,2.482171086044531,0.02250403423718638
2.36,2.827692061387449,3.3261801001002174,2.561404542537028,0.021394448080034406
2.38,2.825776383692667,3.0758982370363257,2.60859196276197,0.022255902480909903
2.4,2.822730395444407,2.514907263032729,2.599981341974231,0.022739037234040034
2.42,2.8185553150379685,2.584238142465576,2.5994342010813654,0.023400494066903525
2.44,2.813252812505516,2.695370984785903,2.6069795661218826,0.022820528671327996
2.46,2.8068250088480613,2.0353717541472887,2.554552829660316,0.024070242995870468
2.48,2.7992744751870666,3.134320853758559,2.6069093297340213,0.022994419188225163
2.5,2.790604231735996,3.0828034206076285,2.6498181940621386,0.022685691309658078
2.52,2.7808177465922332,2.9438556448237194,2.6722559842466103,0.022552305579388858
2.54,2.7699189343498327,2.203102522761548,2.628447036147129,0.022262121421498388
2.56,2.757912154533691,3.040886694332009,2.6635330503750083,0.02186207513084031
2.58,2.7448022098557376,3.134151197369361,2.7038446205793005,0.022487473453356745
2.6,2.7305943442938427,3.8118956870268326,2.8163698223104383,0.02660341544632297
2.62,2.7152942409942287,3.0197184115588787,2.8362468891552775,0.025908423521198577
2.64,2.6989080199982176,3.08944529021616,2.863004975503518,0.025462403048509927
2.66,2.681442235794207,2.5751709345208447,2.8332063036334176,0.02566980731999898
2.68,2.6629038746958793,2.5474809195349315,2.8044202330736843,0.025223590418699093
2.7,2.6433003520476728,2.6613558564406237,2.7902340897026345,0.02513096694917731
2.72,2.622639509258647,2.9076674314598914,2.802388633338156,0.02448105619417306
2.74,2.600929610665918,2.4970935622945825,2.774666048551239,0.02421079677035525
2.7600000000000002,2.5781793402289233,1.7411395820314204,2.671153642638329,0.025143314754813753
2.7800000000000002,2.554397798055836,2.6791368366842483,2.672607517211384,0.024837568845970458
2.8000000000000003,2.529594496763527,2.474859555465401,2.6544541623515823,0.024508655589209248
2.82,2.5037793576725127,2.3827380093971655,2.618772099557149,0.024471432161161724
2.84,2.4769627068384295,3.3027941554252997,2.6884242356566723,0.025661097619480846
